id,question
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_3_6,"What are the primary drivers of the increasing housing affordability gap in Florida, and how can policymakers address these underlying issues?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_3_6,"How can the state of Florida implement policies to increase the supply of affordable housing, particularly in underserved communities?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_3_6,"What role can community land trusts play in addressing the housing affordability crisis in Florida, and what are the potential challenges and limitations of this approach?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_1,"How do you think the categorization of well-being and happiness by Seligman in 2002, into hedonism theory, desire theory, and objective list theory, has influenced the development of subsequent studies and methodologies?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_1,"What role do you believe expert rating approaches, such as those used in the World Values Survey or the Eurobarometer, play in assessing well-being and happiness, and how do you think they contribute to the complexity of measuring these concepts?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_1,"How do you think the expansion of well-being and happiness indicators, such as the Human Development Index (HDI), the Happy Planet Index (HPI), and the Better Life Index (BLI), has impacted the field of housing policy, particularly in the context of urban planning and development?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_2,"How do you propose to account for the potential confounding variables that may influence the relationship between urban sustainability indicators and residents' feelings of appreciation and contentment, as captured by the concept of city love?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_2,"What specific measures or indicators of urban sustainability would you recommend using to explore the relationship between these indicators and residents' city love, and how would you ensure that these measures are feasible and practical for implementation in different cities?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_2,"How do you plan to operationalize and measure the'soul' dimension of city love, and what role do you think cultural, lifestyle, historical, or social factors will play in this process?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_3,How do you think the concept of'soul' in city life relates to the idea of 'body' in terms of its impact on residents' attachment to urban attractiveness?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_3,"What role do you believe social capital plays in shaping residents' perceptions of city love, and how does it intersect with the 'body' and'soul' of the city?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_3,"Can you elaborate on how the quantitative data on local economic conditions, commercial and public services, and transport infrastructure can be used to operationalize the 'body' aspect of city love, and how does this relate to the'soul' of the city?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_4,How do you think policymakers can balance the need for individual citizens to have access to amenities in their municipality of residence with the potential for amenities to be more accessible in nearby municipalities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_4,What role do you believe social capital and safety should play in the empirical application of the operationalization depicted in Fig. 1?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_4,How do you think policymakers can account for the commuting needs of citizens in their municipality of residence when evaluating the importance of amenities in nearby municipalities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_5,"How do Flemish municipalities' unique characteristics, such as their population density and economic diversity, influence the effectiveness of the 'city love' concept in predicting housing demand?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_5,"What role do local economic indicators, such as unemployment rates and GDP per capita, play in shaping the 'city love' model, and how do these indicators interact with demographic data?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_4_5,"Can the 'city love' concept be effectively validated by analyzing the relationship between housing prices and local employment rates, and if so, what are the implications for housing policy?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_1,"What are the primary factors that contribute to the high population density in Flemish municipalities, and how do they impact the distribution of amenities and services?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_1,"How do the existing shopping facilities and recreational services in Flemish municipalities compare to those in other regions, and what are the implications for the hypothesis that certain amenities can be located outside the municipality?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_1,"What are the key differences between the 'Flemish diamond' and other urban agglomerations in Belgium, and how do these differences influence the effectiveness of the hypothesis?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_2,How do you think the data on population density and building rate can be used to inform policy decisions regarding urban planning and development?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_2,"What role do you believe the activity rate plays in shaping the character of a municipality, and how can it be leveraged to promote economic growth and social cohesion?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_2,"Can you elaborate on the significance of the'soul' indicators in the Home Affairs Agency's Municipality-City Monitor, and how do they contribute to a more nuanced understanding of the cultural and lifestyle aspects of a municipality?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_3,"How do you propose to address the issue of unequal representation of certain groups within the composite indicator, particularly those with lower socioeconomic backgrounds?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_3,What adjustments would you suggest to the 'Transportation' factor to better capture the nuances of urban planning and community engagement?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_3,"How do you envision incorporating the 'Aesthetics' factor into the composite indicator, and what metrics would you use to ensure its meaningful contribution to the overall score?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_4,"What is the primary source of funding for the construction of new housing units in the study area, and how does it compare to the existing stock of housing?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_4,"How do the respondents' perceptions of their municipality's 'city love' score relate to their overall satisfaction with their living situation, and what factors contribute to this relationship?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_4,"What is the most significant challenge facing the local government in terms of maintaining and improving the quality of life for residents, and how can this be addressed through policy interventions?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_5,"What are the primary factors contributing to the decline in green space in urban areas, as highlighted in the study by K. Kourtit et al. in 2016?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_5,"How do the results of the study relate to the broader context of urban planning and development, particularly in terms of transportation and land use?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_5_5,What implications does the study's focus on absolute measures of green space have for policymakers seeking to promote more nuanced understanding of urban environmental health?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_1,"Given the limitations of using proportions as a dependent variable in statistical analysis, what alternative methods do you recommend for housing policy experts to consider when conducting research or policy evaluations?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_1,How do you think the use of data transformations such as the arcsine or logit transformation can impact the accuracy of standard least squares regression models when dealing with continuous proportions featuring two categories?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_1,"What are some potential pitfalls or biases that policymakers should be aware of when using proportions as a dependent variable in statistical analysis, and how can they mitigate these issues?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_2,"How do you address the issue of spatial correlation when analyzing the relationship between housing quality and livability in different municipalities, given the potential for non-residential contexts to significantly impact the results?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_2,What adjustments would you recommend to the Beta regression model to account for the potential skewness of the dependent variable in municipalities with a high proportion of non-residential areas?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_2,"How do you propose to incorporate the work and recreational environment into the spatial dependence context, and what specific measures would you suggest to control for the potential confounding effects of these factors?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_3,"How do the differences in the number of stores in the category clothes and fashion, free time, hotels, restaurants, bars, culture, recreation, and sports infrastructure between urban and rural areas impact residents' satisfaction with their local economy?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_3,"What is the relationship between the rate of entrepreneurship per 100 residents and the number of stores in the category clothes and fashion, free time, hotels, restaurants, bars, culture, recreation, and sports infrastructure in urban areas?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_3,"How do the differences in residents' satisfaction with the state of pedestrian walkways, cycling lanes, and public transport between urban and rural areas affect their overall livability and urban/rural satisfaction?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_4,"What is the primary source of funding for the municipal government's safety initiatives, and how does it compare to other sources of funding?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_4,"How do residents' perceptions of their neighborhood's social fabric and trust in the municipal government's ability to provide services compare to their perceptions of other aspects of their municipality, such as safety and healthcare?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_6_4,"What is the most significant factor contributing to the decline in residents' satisfaction with their housing quality, and how can the municipality address this issue?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_1,"What is the primary reason for the observed difference in healthcare facility availability between urban and rural areas, as suggested by the empirical results on city love in Flanders?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_1,"How do the factors influencing happiness in Flemish towns and cities, as identified in the urban-rural typology, relate to the overall happiness scores of the sample?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_1,"What is the significance of the cut-off point of 0.03 for the composite indicator in identifying 'urban' municipalities, and how does this relate to the distribution of municipalities in Flanders?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_2,"What are the specific municipal characteristics that are most strongly associated with resident satisfaction in Flemish towns and cities, as identified through the analysis of the dependent variable 'city love'?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_2,"How do the results of the regression analysis on 'city love' in Flanders compare to the results obtained from the Beta regression, and what implications does this have for the suitability of the OLS approach?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_2,"What are the key factors that contribute to the left-skewed distribution of the 'city love' variable, and how do these factors relate to the overall distribution of the dependent variable?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_3,"How do you think the differences in shopping and recreational opportunities between urban, peri-urban, and rural municipalities can be attributed to the underlying factors driving city love?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_3,What role do you believe social capital plays in the perception of safety concerns in peri-urban and rural areas compared to urban areas?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_3,"Can you elaborate on the distinction between tangible facilities and beneﬁts in the context of city love, and how do these factors impact the overall satisfaction of city love among different types of municipalities?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_4,What is the primary factor that contributes to the relationship between city love and the presence of a diverse range of shopping opportunities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_4,How does the perceived safety within the environment impact residents' overall satisfaction with their municipality?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_4,"What role does governance play in determining residents' satisfaction with their municipality, and what specific factors contribute to this relationship?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_5,"What is the impact of the rural typology on the adjusted R2 value, and how does it compare to the urban typology?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_5,"Can you explain the difference in the pseudo R2 values between the rural and urban typologies, and what factors contribute to this difference?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_7_5,"How does the adjusted R2 value change when the log-likelihood values are adjusted for the number of degrees of freedom, and what implications does this have for the interpretation of the results?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_1,"How do you think the Flemish context, with its extensive transportation networks and relatively short distances, might influence the relationship between city love and net migration, and what implications might this have for our analysis?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_1,"What role do you think the 'voting by feet' Tieboutian pattern might play in the observed relationship between city love and net migration, and how might this pattern be affected by factors such as regional embeddedness?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_1,"How might you address the issue of spatial dependence in your analysis, particularly in the context of Flanders, where municipalities are geographically close to one another, and what potential benefits or limitations might this have for your research?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_2,"How do you think the results of the Moran I test on the residuals of the Standard OLS results would be affected if we were to use a different spatial weight matrix, such as one based on the distance between municipalities rather than their physical proximity?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_2,"What do you believe is the primary reason why the relationship between proximity to functional 'centre cities' and satisfaction with one's own town or city is observed in the Resident Survey, and how might this be different from the relationship observed in the Moran I test?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_2,"How do you think the use of a distance-based neighbors-set in the spatial weight matrix would impact the interpretation of the results of the Moran I test, and what implications might this have for our understanding of the spatial dependence in the data?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_3,"What is the relationship between the perceived lack of safety and the standard OLS regression model for the 'Economy' variable, and what is the corresponding P-value?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_3,"How does the standard OLS regression model for the 'Shopping' variable perform when the 'Economy' variable is transformed, and what is the corresponding P-value?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_3,"What is the relationship between the standard OLS regression model for the 'Recreation' variable and the 'Economy' variable, and what is the corresponding P-value?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_4,"What is the estimated effect of the healthcare system on the housing market, and how does it interact with other factors such as housing prices and poverty rates?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_4,"Can you explain the relationship between perceived safety and housing prices, and how does the interaction with other factors such as social contacts and adjusted R2 affect this relationship?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_8_4,"How does the presence of social contacts influence the perceived safety of housing, and what is the estimated effect of this factor on housing prices?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_1,Can you elaborate on the specific municipalities that were identified as having high or low 'city love' hotspots/coldspots using the Getis-Ord (G) statistic?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_1,"How do you interpret the spatial pattern of p-values in the mapping of Z-scores, particularly in relation to the main urban axes and other 'central cities'?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_1,"What potential implications do you see in incorporating spatial relationships into the proposed model, and how might this affect the identification of optimal housing locations?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_2,"What is the expected effect of a 10% increase in the number of stores in the 'Shopping' category in a neighboring municipality on the city love score, assuming the city love score is measured by the percentage of local residents who identify the city as a favorite?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_2,"How do the spatial exogenous effects of 'Shopping' and 'Recreation' categories interact with each other, and what is the expected effect of a 10% increase in the number of stores in these categories in a neighboring municipality on the city love score?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_2,"What is the expected effect of a 10% increase in the number of recreational and cultural events in a neighboring municipality on the city love score, assuming the city love score is measured by the percentage of local residents who identify the city as a favorite?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_3,"How do you interpret the results of the expanded spatial dependence model, particularly in terms of the relationship between local shopping facilities and city love?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_3,What implications do you see for policymakers in terms of promoting local shopping facilities and enhancing city love in municipalities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_3,Can you elaborate on the potential mechanisms by which a vibrant cultural and recreational scene in another area might influence residents' satisfaction with their local municipality?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_4,"How do you account for the potential impact of urban sprawl on the spatial pattern of shopping activity, particularly in the context of the Christallerian central place interpretation?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_4,"What role do you think the'shopping' activity plays in facilitating cross-border municipal influences, and how do you incorporate this into your analysis?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_4,"How do you consider the regional dependencies of event participation, and what insights do you gain from mapping out the spatial interdependencies of shopping across municipalities?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_5,"What are the primary drivers of the increasing demand for affordable housing in urban areas, and how can policymakers effectively address this demand?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_5,"How can the government balance the need to preserve affordable housing with the goal of increasing housing supply, particularly in areas with high demand?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_9_5,"What role can community land trusts play in addressing the shortage of affordable housing in certain neighborhoods, and what are the potential challenges and limitations of this approach?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_10_1,What is the estimated relationship between the proportion of Flemish residents who depend on these 15 cities for shopping needs and the total population of these cities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_10_1,How does the coefficient for 'Economy' in the regression model for shopping needs vary across the top 5 cities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_10_1,What is the estimated effect of commuting on the shopping needs of residents in these 15 cities?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_10_2,"What is the primary reason for the decline in the number of housing units in the low-income population in Flanders, as reported in Fig. 3?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_10_2,"How does the perceived lack of safety in housing affect the social contacts of low-income individuals, as indicated by the data in Fig. 4?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_10_2,"What is the relationship between the number of shopping (other) activities and the adjusted R2 in the regression model, as reported in the table in the text?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_11_1,"How do you think the presence of larger peri-urban municipalities, such as Sint-Niklaas and Hasselt, affects the demand for services and amenities in smaller urban centers like Genk and Ieper?"
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_11_1,What role do you believe the international border effect plays in shaping the shopping habits of residents in municipalities like Olen and Ninove?
Cityphilia-and-cityphobia--A-multi-scalar-search-for_2024_Journal-of-Urban-M_11_1,Can you elaborate on the concept of 'city love' and how it might be influenced by the proximity of larger functional municipalities to smaller urban centers?
